sheet_name,country,city,kitchen_id,sku,name,product,mep_classification,suggested_units
Jardines,MEX,,14 JARDINES,1434,Tocineta,Tocineta,Día de la Madre,462
Jardines,MEX,,14 JARDINES,1245,Almendra Fileteada Insumo,Almendra Fileteada Insumo,Día de la Madre,510
Jardines,MEX,,14 JARDINES,1304,Croissant Grande,Croissant Grande,Día de la Madre,6
Jardines,MEX,,14 JARDINES,1430,Tapa Bowl Kraft Chico,Tapa Bowl Kraft Chico,Día de la Madre,65
Jardines,MEX,,14 JARDINES,1266,Bowl Kraft Chico,Bowl Kraft Chico,Día de la Madre,65
Jardines,MEX,,14 JARDINES,1431,Tapa Bowl Kraft Grande,Tapa Bowl Kraft Grande,Día de la Madre,123
Jardines,MEX,,14 JARDINES,1267,Bowl Kraft Grande,Bowl Kraft Grande,Día de la Madre,123
Jardines,MEX,,14 JARDINES,1395,Porta Hamburguesa,Porta Hamburguesa,Día de la Madre,17
Jardines,MEX,,14 JARDINES,1271,Caja Lounch,Caja Lounch,Día de la Madre,15
Jardines,MEX,,14 JARDINES,1419,servilletas,servilletas,Día de la Madre,331
Jardines,MEX,,14 JARDINES,1669,Bowl Sopa,Bowl Sopa,Día de la Madre,22
Jardines,MEX,,14 JARDINES,1670,Tapa Bowl Sopa,Tapa Bowl Sopa,Día de la Madre,22
Jardines,MEX,,14 JARDINES,1311,Espinaca,Espinaca,Día de la Madre,300
Jardines,MEX,,14 JARDINES,2381,Jitomate Saladed,Jitomate Saladed,Día de la Madre,2975
Jardines,MEX,,14 JARDINES,1289,Cilantro Insumo,Cilantro Insumo,Día de la Madre,105
Jardines,MEX,,14 JARDINES,1276,Cebolla Blanca Insumo,Cebolla Blanca Insumo,Día de la Madre,2400
Jardines,MEX,,14 JARDINES,1249,Arandano fresco Insumo,Arandano fresco Insumo,Día de la Madre,340
Jardines,MEX,,14 JARDINES,1257,Banano Criollo Insumo,Banano Criollo Insumo,Día de la Madre,1152
Jardines,MEX,,14 JARDINES,1312,Fresa Insumo,Fresa Insumo,Día de la Madre,1147
Jardines,MEX,,14 JARDINES,1391,Pina Miel Insumo,Pina Miel Insumo,Día de la Madre,350
Jardines,MEX,,14 JARDINES,1374,Papaya Maradol Insumo,Papaya Maradol Insumo,Día de la Madre,350
Jardines,MEX,,14 JARDINES,5319,Frosting Queso Crema y Yogurt,Frosting Queso Crema y Yogurt,Día de la Madre,360
Jardines,MEX,,14 JARDINES,1303,Crema acida,Crema acida,Día de la Madre,1830
Jardines,MEX,,14 JARDINES,5392,"Salsa ""Del Barça""","Salsa ""Del Barça""",Día de la Madre,720
Jardines,MEX,,14 JARDINES,3055,Salsa Burger con Jalapeño,Salsa Burger con Jalapeño,Día de la Madre,500
Jardines,MEX,,14 JARDINES,1362,Miel de maple,Miel de maple,Día de la Madre,3480
Jardines,MEX,,14 JARDINES,1836,Arrachera insumo,Arrachera insumo,Día de la Madre,4730
Jardines,MEX,,14 JARDINES,1491,Totopos,Totopos,Día de la Madre,13900
Jardines,MEX,,14 JARDINES,1511,Salsa Frutos Rojos,Salsa Frutos Rojos,Día de la Madre,80
Jardines,MEX,,14 JARDINES,1039,Jugo de Naranja,Jugo de Naranja,Día de la Madre,43
Jardines,MEX,,14 JARDINES,1117,Porcion de Fruta,Porcion de Fruta,Día de la Madre,8
Jardines,MEX,,14 JARDINES,1493,Guacamole,Guacamole,Día de la Madre,2950
