sheet_name,country,city,kitchen_id,sku,name,product,mep_classification,suggested_units
Usaquen+Turbo,COL,,01 USAQUEN,3482,Galleta Oreo PROD,Galleta Oreo PROD,,2.0
Usaquen+Turbo,COL,,01 USAQUEN,3483,Galleta Red Velvet Choc Blanco PROD,Galleta Red Velvet Choc Blanco PROD,Madre,9.0
Usaquen+Turbo,COL,,01 USAQUEN,3484,Galleta Avena Frutos Rojos,Galleta Avena Frutos Rojos,,4.0
Usaquen+Turbo,COL,,01 USAQUEN,3485,Galleta Nueces Choc Blanco,Galleta Nueces Choc Blanco,,0.0
Usaquen+Turbo,COL,,01 USAQUEN,3486,Galleta Nutella y Nueces PROD,Galleta Nutella y Nueces PROD,,0.0
Usaquen+Turbo,COL,,01 USAQUEN,3487,Galleta de Guayaba PROD,Galleta de Guayaba PROD,,3.0
Usaquen+Turbo,COL,,01 USAQUEN,3488,Galleta Doble Chocolate PROD,Galleta Doble Chocolate PROD,,0.0
Usaquen+Turbo,COL,,01 USAQUEN,3623,Cubierta Queso Crema,Cubierta Queso Crema,Madre,2000.0
Usaquen+Turbo,COL,,01 USAQUEN,3002,Mezcla de Aceite Y Mantequilla (Produccion),Mezcla de Aceite Y Mantequilla (Produccion),Madre,1800.0
Usaquen+Turbo,COL,,01 USAQUEN,3632,PROD Minibon de Canela,PROD Minibon de Canela,Madre,26.0
Usaquen+Turbo,COL,,01 USAQUEN,307,Salsa Frutos Rojos,Salsa Frutos Rojos,,300.0
Usaquen+Turbo,COL,,01 USAQUEN,713,⭕️Caja Lunch,⭕️Caja Lunch,Madre,71.0
Usaquen+Turbo,COL,,01 USAQUEN,3576,Flores dia de la Madre,Flores dia de la Madre,Madre,35.0
Usaquen+Turbo,COL,,01 USAQUEN,119,⚠️Aceite De Girasol,⚠️Aceite De Girasol,Madre,1600.0
Usaquen+Turbo,COL,,01 USAQUEN,172,Huevo Tipo AA,Huevo Tipo AA,Madre,398.0
Usaquen+Turbo,COL,,01 USAQUEN,550,⭕️Bolsa Pan Generica,⭕️Bolsa Pan Generica,Madre,35.0
Usaquen+Turbo,COL,,01 USAQUEN,237,Sal,Sal,Madre,1200.0
Usaquen+Turbo,COL,,01 USAQUEN,6078,Mezcla líquida pancakes de choclo,Mezcla líquida pancakes de choclo,Madre,700.0
Usaquen+Turbo,COL,,01 USAQUEN,432,Empaque Vinagreta,Empaque Vinagreta,Madre,85.0
Usaquen+Turbo,COL,,01 USAQUEN,604,Jugo de Naranja,Jugo de Naranja,Madre,144.0
Usaquen+Turbo,COL,,01 USAQUEN,5003,Porcion de fruta,Porcion de fruta,Madre,85.0
Usaquen+Turbo,COL,,01 USAQUEN,118,Croissant Huevo Jamon y Queso,Croissant Huevo Jamon y Queso,Madre,65.0
Usaquen+Turbo,COL,,01 USAQUEN,5045,Mini pancakes tradicionales SIN fresa,Mini pancakes tradicionales SIN fresa,Madre,41.0
Usaquen+Turbo,COL,,01 USAQUEN,2604,Caja Especial B&M,Caja Especial B&M,Madre,40.0
Usaquen+Turbo,COL,,01 USAQUEN,384,Tenedor Y Cuchillo,Tenedor Y Cuchillo,Madre,171.0
Usaquen+Turbo,COL,,01 USAQUEN,6273,Pancakes de choclo,Pancakes de choclo,Madre,5.0
Usaquen+Turbo,COL,,01 USAQUEN,5022,Minibon canela,Minibon canela,Madre,20.0
Usaquen+Turbo,COL,,01 USAQUEN,3799,Galleta Red Velvet Choc Blanco Individual Vicio,Galleta Red Velvet Choc Blanco Individual Vicio,Madre,5.0
Usaquen+Turbo,COL,,01 USAQUEN,3597,Flores 🌹,Flores 🌹,Madre,35.0
Usaquen+Turbo,COL,,01 USAQUEN,6343,COMBO INDIVIDUAL PANCAKES CHOCLO,COMBO INDIVIDUAL PANCAKES CHOCLO,Madre,5.0
Usaquen+Turbo,COL,,01 USAQUEN,6344,COMBO INDIVIDUAL MINIBON,COMBO INDIVIDUAL MINIBON,Madre,20.0
Usaquen+Turbo,COL,,01 USAQUEN,6345,COMBO INDIVIDUAL GALLETA,COMBO INDIVIDUAL GALLETA,Madre,5.0
Usaquen+Turbo,COL,,01 USAQUEN,6346,COMBO ESPECIAL CON FLORES,COMBO ESPECIAL CON FLORES,Madre,35.0
Usaquen+Turbo,COL,,01 USAQUEN,6348,COMBO ESPECIAL SIN FLORES,COMBO ESPECIAL SIN FLORES,Madre,5.0
Usaquen+Turbo,COL,,01 USAQUEN,63.0,Pancakes Tradicionales,Pancakes Tradicionales,Alistar,5.0
Andes+Turbo,COL,,08 ANDES,1904,Papas pre Fritas,Papas pre Fritas,,9360
Andes+Turbo,COL,,08 ANDES,287,Guacamole,Guacamole,,2000.0
Andes+Turbo,COL,,08 ANDES,5270,Mix de lechugas,Mix de lechugas,,800.0
Andes+Turbo,COL,,08 ANDES,246,Syrup,Syrup,Madre,3100.0
Andes+Turbo,COL,,08 ANDES,127,Almendra Fileteada,Almendra Fileteada,,420.0
Andes+Turbo,COL,,08 ANDES,1726,pepinillo en conserva,pepinillo en conserva,,230.0
Andes+Turbo,COL,,08 ANDES,3510,Jar de Oreo PROD,Jar de Oreo PROD,,4.0
Andes+Turbo,COL,,08 ANDES,3511,Jar de Limon PROD,Jar de Limon PROD,,3.0
Andes+Turbo,COL,,08 ANDES,3512,Jar de Chocolate PROD,Jar de Chocolate PROD,,3.0
Andes+Turbo,COL,,08 ANDES,3513,Jar 3 Leches PROD,Jar 3 Leches PROD,,3.0
