País,COL,Weekday,Segmento,# de Weekdays,,,,,,,,,,,,,
Cocina,15 ENGATIVA,4,L-J,18,Ejecución MEP,,,,,,,,,,,,
,Desayuno,,,,,,,,,,,Almuerzo,Cena,Mañana,Tarde,Noche,0.4369747899
,Descongelar,PRODUCCION,3488,Galleta Doble Chocolate PROD,UN,Postres,Sábado,Porción más común 1UN,descongeladas y empacadas,0,0,0,0,0.0,0,,
Madre,Descongelar,PRODUCCION,3623,Cubierta Queso Crema,G,Sábado,,Porción más común 14G,Frostear primera hora,570.4370629,294,308,560,1300.0,0,,
Madre,Producción,PRODUCCION,3002,Mezcla de Aceite Y Mantequilla (Produccion),G,Sábado,,Porción más común 20G,1649.815518,,300,500,880,1700.0,1,,
Madre,Frostear,PRODUCCION,3632,PROD Minibon de Canela,UN,Domingo,,Porción más común 1UN,Frostear,19.31623932,7,3,10,20.0,0,,
,Porcionar,PRODUCCION,307,Salsa Frutos Rojos,G,Sábado,,Porción más común 20G,35.38461538,,40,20,40,300.0,1,,
Madre,Asegurar existencia,EMPAQUES,713,⭕️Caja Lunch,UN,Viernes,,Porción más común 1UN,44.61538462,,39,3,5,47.0,0,,
Madre,Asegurar existencia,ABARROTES,3576,Flores dia de la Madre,UN,Viernes,,Porción más común 1UN,"lejos del calor, lugar fresco ",19,19,0,0,19.0,0,,
Madre,Asegurar existencia,ABARROTES,119,⚠️Aceite De Girasol,ML,Viernes,,Porción más común 3ML,560.7306531,,240,357,528,1300.0,1,,
Madre,Asegurar existencia,ABARROTES,172,Huevo Tipo AA,UN,Viernes,,Porción más común 2UN,121.8710508,,172,48,26,246.0,0,,
Madre,Asegurar existencia,EMPAQUESAJ,550,⭕️Bolsa Pan Generica,UN,Viernes,,Porción más común 1UN,22.84615385,,6,8,10,24.0,0,,
Madre,Asegurar existencia,ABARROTES,237,Sal,G,Viernes,,Porción más común 1G,413.8093653,,112,357,360,1000.0,0,,
Madre,Producción,PRODUCCION,6078,Mezcla líquida pancakes de choclo,Sábado,,,Porción más común 140,tener lista PM,290.7692308,290.7692308,0,0,300.0,0,,
Madre,Asegurar existencia,EMPAQUES,432,Empaque Vinagreta,UN,Viernes,,Porción más común 1UN,46.15384615,,23,13,12,48.0,0,,
Madre,Alistar,PRODUCTO TERMINADO,604,Jugo de Naranja,UN,Sábado,,,49.53846154,,80.78579882,10.66982249,7.621301775,100.0,0,,
Madre,Alistar,PRODUCTO TERMINADO,5003,Porcion de fruta,UN,Sábado,,,tener lista PM,24.84615385,48.56293706,0.5646853147,0,50.0,0,,
Madre,Alistar,PRODUCTO TERMINADO,118,Croissant Huevo Jamon y Queso,UN,Domingo,,,dejar croissant cortado y con queso desde el sábado ,43,43,0,0,43.0,0,,
Madre,Alistar,PRODUCTO TERMINADO,5045,Mini pancakes tradicionales SIN fresa,UN,Sábado,,,tener listo PM,22.07692308,20.65260546,1.186931348,0.2373862696,24.0,0,,
Madre,Alistar,PRODUCTO TERMINADO,2604,Caja Especial B&M,UN,Viernes,,,22.46153846,,22.46153846,0,0,23.0,0,,
Madre,Alistar,PRODUCTO TERMINADO,384,Tenedor Y Cuchillo,UN,Viernes,,,50.92307692,,34.6710311,19.79138025,27.59236225,83.0,0,,
