País,COL,Weekday,Segmento,# de Weekdays,,,,,,,,,,,,,
Cocina,11 MANILA,4,L-J,18,Ejecución MEP,,,,,,,,,,,,
Desayuno,,,,,,,,,,,,Almuerzo,Cena,Mañana,Tarde,Noche,0.1363636364
Madre,Producción,PRODUCCION,6078,Mezcla líquida pancakes de choclo,Sábado,,,Porción más común 140,tener lista PM,840,840,0,0,900.0,1,,
Madre,Asegurar existencia,EMPAQUES,432,Empaque Vinagreta,UN,Viernes,,Porción más común 1UN,154.0769231,,71,53,33,157.0,0,,
Madre,Alistar,PRODUCTO TERMINADO,604,Jugo de Naranja,UN,Sábado,,,120.5384615,,170.9042976,49.04538341,21.12724208,243.0,1,,
Madre,Alistar,PRODUCTO TERMINADO,5003,Porcion de fruta,UN,Sábado,,,tener lista PM,58.30769231,81.30980946,28.88637968,3.209597742,115.0,1,,
Madre,Alistar,PRODUCTO TERMINADO,118,Croissant Huevo Jamon y Queso,UN,Domingo,,,dejar croissant cortado y con queso desde el sábado ,87.53846154,82.38914027,0,5.149321267,89.0,1,,
Madre,Alistar,PRODUCTO TERMINADO,5045,Mini pancakes tradicionales SIN fresa,UN,Sábado,,,tener listo PM,50.23076923,38.23713402,10.44989998,1.543735225,52.0,1,,
Madre,Alistar,PRODUCTO TERMINADO,2604,Caja Especial B&M,UN,Viernes,,,50.69230769,,41.74660633,8.945701357,0,51.0,0,,
Madre,Alistar,PRODUCTO TERMINADO,384,Tenedor Y Cuchillo,UN,Viernes,,,208.0769231,,143.0291098,177.6451976,47.73976937,370.0,0,,
Madre,Alistar,PRODUCTO TERMINADO,6273,Pancakes de choclo,UN,Domingo,,,primera hora,5.923076923,5.923076923,0,0,6.0,1,,
Madre,Alistar,PRODUCTO TERMINADO,5022,Minibon canela,UN,Domingo,,,primera hora,28.15384615,28.15384615,0,28.15384615,58.0,1,,
Madre,Alistar,PRODUCTO TERMINADO,3799,Galleta Red Velvet Choc Blanco Individual Vicio,UN,Sábado,,,Empacada en bolsa pan,9.068376068,0.5667735043,0,8.501602564,10.0,1,,
Madre,Alistar,PRODUCTO TERMINADO,3597,Flores 🌹,UN,Domingo,,,armado de combos am,40,40,0,0,40.0,1,,
Madre,Combo armado,PRODUCTO TERMINADO,6343,COMBO INDIVIDUAL PANCAKES CHOCLO,UN,Domingo,,,armado de combos am,5.076923077,5.076923077,0,0,6.0,0,,
Madre,Combo armado,PRODUCTO TERMINADO,6344,COMBO INDIVIDUAL MINIBON,UN,Domingo,,,armado de combos am,28.15384615,28.15384615,0,0,29.0,0,,
Madre,Combo armado,PRODUCTO TERMINADO,6345,COMBO INDIVIDUAL GALLETA,UN,Domingo,,,armado de combos am,8,8,0,0,8.0,0,,
Madre,Combo armado,PRODUCTO TERMINADO,6346,COMBO ESPECIAL CON FLORES,UN,Domingo,,,armado de combos am,40,40,0,0,40.0,0,,
Madre,Combo armado,PRODUCTO TERMINADO,6348,COMBO ESPECIAL SIN FLORES,UN,Domingo,,,armado de combos am,10.15384615,10.15384615,0,0,11.0,0,,
Alistar,,PRODUCTO TERMINADO,63.0,Pancakes Tradicionales,UN,Domingo,,6.230769231,,,6.230769231,2.538461538,0.3076923077,11.0,0,,
Turbo ,Alistar a primera hora,PRODUCTO TERMINADO,57.0,Egg Bacon & Cheese Croissant,UN,Domingo,,Caliente,,3.0,6,6.0,,,0,,
Turbo ,Alistar a primera hora,PRODUCTO TERMINADO,5008.0,Ham & Cheese Croissant,UN,Domingo,,Caliente,,2.0,4,4.0,,,0,,
Turbo ,Alistar a primera hora,PRODUCTO TERMINADO,60.0,Egg & Bacon Muffin,UN,Domingo,,Empacado en calentador,,1.0,2,2.0,,,0,,
Turbo ,Alistar a primera hora,PRODUCTO TERMINADO,3445.0,Egg & Bacon Pandewaffle,UN,Domingo,,Caliente,,1.0,2,2.0,,,0,,
Turbo ,Alistar a primera hora,PRODUCTO TERMINADO,5359.0,"Croissant De Huevo, Tocineta Y Queso",UN,Domingo,,Caliente,,1.0,2,2.0,,,0,,
Turbo ,Alistar a primera hora,PRODUCTO TERMINADO,1613.0,Porción Hash Browns,UN,Domingo,,Caliente,,1.0,2,2.0,,,0,,
Turbo ,Alistar a primera hora,PRODUCTO TERMINADO,63.0,Classic Pancakes,UN,Domingo,,Caliente con fresa aparte,,1.0,2,2.0,,,0,,
Turbo ,Alistar a primera hora,PRODUCTO TERMINADO,952.0,Calentado Caribe,UN,Domingo,,Caliente,,1.0,2,2.0,,,0,,
Turbo ,Alistar a primera hora,PRODUCTO TERMINADO,1348.0,Breakfast Burrito,UN,Domingo,,"Burrito en la plancha, guacamole aparte",,1.0,2,2.0,,,0,,
Turbo ,Alistar a primera hora,PRODUCTO TERMINADO,2899.0,Calentado Santarrosano,UN,Domingo,,Caliente,,1.0,2,2.0,,,0,,
Turbo ,Alistar a primera hora,PRODUCTO TERMINADO,3649.0,Cinnabon Clásico,UN,Domingo,,Temperatura ambiente,,1.0,2,2.0,,,0,,
Turbo ,Alistar a primera hora,PRODUCTO TERMINADO,3659.0,Cinnapack Clásico x4,UN,Domingo,,Temperatura ambiente,,1.0,2,2.0,,,0,,
Turbo ,Alistar a primera hora,PRODUCTO TERMINADO,5005.0,Yogurt Bowl,UN,Domingo,,Fría,,1.0,2,2.0,,,0,,
Turbo ,Alistar a primera hora,PRODUCTO TERMINADO,5358.0,Italian Croissant,UN,Domingo,,Temperatura ambiente,,1.0,2,2.0,,,0,,
Turbo ,Alistar a primera hora,PRODUCTO TERMINADO,5360.0,"Croissant De Huevo, Jamón Y Queso",UN,Domingo,,Caliente,,1.0,2,2.0,,,0,,
0.0,,,,,,,,,,,,,,,0,,
0.0,,,,,,,,,,,,,,,0,,
0.0,,,,,,,,,,,,,,,0,,
0.0,,,,,,,,,,,,,,,0,,
0.0,,,,,,,,,,,,,,,0,,
0.0,,,,,,,,,,,,,,,0,,
0.0,,,,,,,,,,,,,,,0,,
0.0,,,,,,,,,,,,,,,0,,
0.0,,,,,,,,,,,,,,,0,,
0.0,,,,,,,,,,,,,,,0,,
0.0,,,,,,,,,,,,,,,0,,
0.0,,,,,,,,,,,,,,,0,,
0.0,,,,,,,,,,,,,,,0,,
0.0,,,,,,,,,,,,,,,0,,
0.0,,,,,,,,,,,,,,,0,,
0.0,,,,,,,,,,,,,,,0,,
0.0,,,,,,,,,,,,,,,0,,
0.0,,,,,,,,,,,,,,,0,,
0.0,,,,,,,,,,,,,,,0,,
0.0,,,,,,,,,,,,,,,0,,
0.0,,,,,,,,,,,,,,,0,,
0.0,,,,,,,,,,,,,,,0,,
0.0,,,,,,,,,,,,,,,0,,
0.0,,,,,,,,,,,,,,,0,,
0.0,,,,,,,,,,,,,,,0,,
0.0,,,,,,,,,,,,,,,0,,
0.0,,,,,,,,,,,,,,,0,,
0.0,,,,,,,,,,,,,,,0,,
0.0,,,,,,,,,,,,,,,0,,
0.0,,,,,,,,,,,,,,,0,,
0.0,,,,,,,,,,,,,,,0,,
0.0,,,,,,,,,,,,,,,0,,
0.0,,,,,,,,,,,,,,,0,,
0.0,,,,,,,,,,,,,,,0,,
0.0,,,,,,,,,,,,,,,0,,
0.0,,,,,,,,,,,,,,,0,,
0.0,,,,,,,,,,,,,,,0,,
0.0,,,,,,,,,,,,,,,0,,
0.0,,,,,,,,,,,,,,,0,,
0.0,,,,,,,,,,,,,,,0,,
0.0,,,,,,,,,,,,,,,0,,
0.0,,,,,,,,,,,,,,,0,,
0.0,,,,,,,,,,,,,,,0,,
0.0,,,,,,,,,,,,,,,0,,
0.0,,,,,,,,,,,,,,,0,,
0.0,,,,,,,,,,,,,,,0,,
0.0,,,,,,,,,,,,,,,0,,
0.0,,,,,,,,,,,,,,,0,,
0.0,,,,,,,,,,,,,,,0,,
0.0,,,,,,,,,,,,,,,0,,
0.0,,,,,,,,,,,,,,,0,,
0.0,,,,,,,,,,,,,,,0,,
0.0,,,,,,,,,,,,,,,0,,
0.0,,,,,,,,,,,,,,,0,,
0.0,,,,,,,,,,,,,,,0,,
0.0,,,,,,,,,,,,,,,0,,
0.0,,,,,,,,,,,,,,,0,,
0.0,,,,,,,,,,,,,,,0,,
0.0,,,,,,,,,,,,,,,0,,
0.0,,,,,,,,,,,,,,,0,,
0.0,,,,,,,,,,,,,,,0,,
