country,city,kitchen_id,meal_period,sku,description,category,consumption_place,unit,sum(quantity),avg(quantity)
COL,Bogotá,13 CHIA,Desayuno,464.0,Mezcla Pancakes Tradicionales Lista,PRODUCTION,Kitchen,G,16360.0,16360.0
COL,Bogotá,36 VILLA DEL PRADO,Desayuno,464.0,Mezcla Pancakes Tradicionales Lista,PRODUCTION,Kitchen,G,16200.0,16200.0
COL,Medellín,12 LAURELES,Desayuno,183.0,Leche,DAIRY,Kitchen,ML,16012.64724,16012.64724
COL,Bogotá,65 CALLE 109,Desayuno,180.0,Jugo de Naranja Bolsa Lt⭕️,DRINK,Kitchen,ML,15900.0,15900.0
COL,Bogotá,08 ANDES,Cena,122.0,Agua de Llave,GROCERY,Kitchen,ML,15895.539515,15895.539515
COL,Bogotá,02 PARQUE 93,Desayuno,180.0,Jugo de Naranja Bolsa Lt⭕️,DRINK,Kitchen,ML,15600.0,15600.0
COL,Bogotá,01 USAQUEN,Desayuno,122.0,Agua de Llave,GROCERY,Kitchen,ML,15561.2922868646,15561.2922868646
COL,Bogotá,38 KENNEDY,Desayuno,122.0,Agua de Llave,GROCERY,Kitchen,ML,15504.2789596411,15504.2789596411
COL,Medellín,18 BELLO,Desayuno,180.0,Jugo de Naranja Bolsa Lt⭕️,DRINK,Kitchen,ML,15300.0,15300.0
COL,Bogotá,45 VERAGUAS,Desayuno,180.0,Jugo de Naranja Bolsa Lt⭕️,DRINK,Kitchen,ML,15300.0,15300.0
COL,Medellín,14 ENVIGADO,Cena,122.0,Agua de Llave,GROCERY,Kitchen,ML,15202.8136555428,15202.8136555428
COL,Medellín,14 ENVIGADO,Desayuno,292.0,Mezcla Pancake Tradicional Seco,PRODUCTION,Kitchen,G,14578.9952,14578.9952
COL,Bogotá,01 USAQUEN,Desayuno,180.0,Jugo de Naranja Bolsa Lt⭕️,DRINK,Kitchen,ML,14400.0,14400.0
COL,Medellín,29 ITAGUI,Desayuno,122.0,Agua de Llave,GROCERY,Kitchen,ML,14097.4658644176,14097.4658644176
COL,Barranquilla,32 BARRANQUILLA,Desayuno,292.0,Mezcla Pancake Tradicional Seco,PRODUCTION,Kitchen,G,13976.9608,13976.9608
COL,Medellín,18 BELLO,Almuerzo,122.0,Agua de Llave,GROCERY,Kitchen,ML,13952.436275,13952.436275
COL,Medellín,12 LAURELES,Desayuno,292.0,Mezcla Pancake Tradicional Seco,PRODUCTION,Kitchen,G,13879.3336,13879.3336
COL,Bucaramanga,42 CABECERA,Desayuno,122.0,Agua de Llave,GROCERY,Kitchen,ML,13859.3975236411,13859.3975236411
COL,Barranquilla,32 BARRANQUILLA,Cena,122.0,Agua de Llave,GROCERY,Kitchen,ML,13719.7649160665,13719.7649160665
COL,Cartagena,33 CARTAGENA,Desayuno,122.0,Agua de Llave,GROCERY,Kitchen,ML,13701.4716860293,13701.4716860293
COL,Bogotá,36 VILLA DEL PRADO,Almuerzo,122.0,Agua de Llave,GROCERY,Kitchen,ML,13695.786786,13695.786786
COL,Bogotá,01 USAQUEN,Almuerzo,122.0,Agua de Llave,GROCERY,Kitchen,ML,13655.104189,13655.104189
COL,Medellín,11 MANILA,Almuerzo,122.0,Agua de Llave,GROCERY,Kitchen,ML,13496.4523527714,13496.4523527714
COL,Bogotá,08 ANDES,Desayuno,122.0,Agua de Llave,GROCERY,Kitchen,ML,13105.8694112235,13105.8694112235
COL,Bogotá,08 ANDES,Desayuno,464.0,Mezcla Pancakes Tradicionales Lista,PRODUCTION,Kitchen,G,13060.0,13060.0
COL,Bogotá,02 PARQUE 93,Almuerzo,122.0,Agua de Llave,GROCERY,Kitchen,ML,12979.6612537714,12979.6612537714
COL,Bucaramanga,42 CABECERA,Cena,122.0,Agua de Llave,GROCERY,Kitchen,ML,12903.591918,12903.591918
COL,Bogotá,06 COLINA,Desayuno,122.0,Agua de Llave,GROCERY,Kitchen,ML,12896.9100136704,12896.9100136704
COL,Medellín,14 ENVIGADO,Almuerzo,122.0,Agua de Llave,GROCERY,Kitchen,ML,12737.2609187714,12737.2609187714
COL,Medellín,18 BELLO,Desayuno,464.0,Mezcla Pancakes Tradicionales Lista,PRODUCTION,Kitchen,G,12520.0,12520.0
COL,Bogotá,15 ENGATIVA,Desayuno,464.0,Mezcla Pancakes Tradicionales Lista,PRODUCTION,Kitchen,G,12380.0,12380.0
COL,Bogotá,13 CHIA,Desayuno,180.0,Jugo de Naranja Bolsa Lt⭕️,DRINK,Kitchen,ML,12300.0,12300.0
COL,Cali,46 INGENIO,Desayuno,183.0,Leche,DAIRY,Kitchen,ML,12218.51,12218.51
COL,Cali,24 SAN FERNANDO,Almuerzo,122.0,Agua de Llave,GROCERY,Kitchen,ML,12215.4281462619,12215.4281462619
COL,Bogotá,02 PARQUE 93,Cena,122.0,Agua de Llave,GROCERY,Kitchen,ML,12090.0897315428,12090.0897315428
COL,Cali,24 SAN FERNANDO,Desayuno,183.0,Leche,DAIRY,Kitchen,ML,11962.14662,11962.14662
COL,Bogotá,01 USAQUEN,Cena,1904.0,Papas pre Fritas⚠️,GROCERY,Kitchen,G,11760.0,11760.0
COL,Bogotá,08 ANDES,Desayuno,180.0,Jugo de Naranja Bolsa Lt⭕️,DRINK,Kitchen,ML,11700.0,11700.0
COL,Cali,22 SANTA MONICA,Desayuno,183.0,Leche,DAIRY,Kitchen,ML,11495.01154,11495.01154
COL,Bogotá,03 CHAPINERO,Desayuno,183.0,Leche,DAIRY,Kitchen,ML,11375.67742,11375.67742
COL,Bogotá,15 ENGATIVA,Desayuno,122.0,Agua de Llave,GROCERY,Kitchen,ML,11296.2689564176,11296.2689564176
COL,Bogotá,13 CHIA,Almuerzo,122.0,Agua de Llave,GROCERY,Kitchen,ML,11185.5011076916,11185.5011076916
COL,Bogotá,65 CALLE 109,Desayuno,179.0,Jugo de Mandarina Bolsa Lt ⭕️,DRINK,Kitchen,ML,11100.0,11100.0
COL,Medellín,11 MANILA,Desayuno,209.0,Papa Sabanera,FRUITS,Kitchen,G,10915.718652,10915.718652
COL,Bogotá,06 COLINA,Almuerzo,122.0,Agua de Llave,GROCERY,Kitchen,ML,10887.7055036571,10887.7055036571
