order_received_at_local,order_id,provider_order_id,provider_name,country,kitchen,brand,rating,comments,complaint,rating_tag,reason,reason_category,reason_area,# In Full,is infull
19.0,ggTQu2j79G5WCnNEB,2.440164266E9,rappi,MEX,Esmeralda,Desayunos de la Abuela,5.0,0,,RATINGS,,RATINGS,1.0,,0
19.0,HTHf3eCDPGNiCY7Km,2.440165693E9,rappi,MEX,Santa Teresita,La Neta Burgers (Orale Burgers),5.0,0,,comment|Comentario,RATINGS,RATINGS,1.0,,0
19.0,uBJG7zKnw82CM5TPB,5764669958936135137,didi,MEX,Volcanes,House of Salads,5.0,0,,RATINGS,,RATINGS,1.0,,0
19.0,yF2gJmhj2iQLvwiuo,cbed8e94-bee1-41c7-98e2-3573375aaf5e,ubereats,MEX,Doctores,Green House,3.0,1,,restaurant_too_slow,OUT_TIME,DELIVERY_LATE,DELIVERY,0.0,1
19.0,TNFqpM5J3EoSS6Hfi,02dabb1a-f7a1-44d6-b453-ea502fca113b,ubereats,MEX,La Calma,Que Chicken,5.0,0,,RATINGS,,RATINGS,1.0,,0
19.0,behPrCXrQ7qDe6DSF,2.440166695E9,rappi,MEX,San Ángel,Mr Beast Burger Turbo,4.0,0,,rrs_rest_completeness_rate_4|Incluir todos los items,ORDER_COMPLETENESS,ORDER_COMPLETENESS,,1.0,0
19.0,sJn6tpp7RD7bZaq2N,33aa0246-4965-48b1-8c08-75c33a31cdfc,ubereats,MEX,Tabachines,Green House,5.0,0,,"HIGH_FOOD_QUALITY, HIGH_FOOD_QUALITY",,1.0,,,0
19.0,dyCMePHt9BXDngXnQ,703ad37b-b186-4522-ad9b-1cfa0b9a906c,ubereats,MEX,Volcanes,Honest Food,5.0,0,,RATINGS,,RATINGS,1.0,,0
19.0,uuukdpng5swDxsQmB,6ca0f986-bbd8-4838-9555-feecff82bf61,ubereats,MEX,Metepec,House of Salads,5.0,1,,"NOT_WORTH_PRICE, HIGH_FOOD_QUALITY, HIGH_FOOD_QUALITY",,SMALL_PORTIONS|SPILLED_PACKAGING,DELIVERY|PRICING,0.0,1
19.0,RugwxeKRg9jmYjiLA,2.440170196E9,rappi,MEX,Polanco,Honest Food Turbo,4.0,0,,comment|Comentario,RATINGS,RATINGS,1.0,,0
19.0,NS5TRFEeRC4mWuDkZ,250cb2f0-ad7d-4fff-b0e7-474525c5e813,ubereats,MEX,Lincoln,Don Gyros & Kebab,5.0,0,,RATINGS,,RATINGS,1.0,,0
19.0,GepJXiq3SFPBkufH2,2.440165318E9,rappi,MEX,Tlaquepaque,Que Chicken,5.0,0,,comment|Comentario,RATINGS,RATINGS,1.0,,0
19.0,evCtYmE5uH8jv5to8,5764669968914384402,didi,MEX,Santa Fe,Mr Beast Burger,5.0,0,,Precios razonables|Buena calidad de la comida|Exactamente como lo pedí|Menú variado|Bien empacado|Porciones adecuadas,GOOD_PACKAGING|HIGH_FOOD_QUALITY|ORDER_COMPLETENESS|ORDER_PRECISION|VARIETY_MENU_OPTIONS,1.0,,,0
19.0,dX3MZLurtyo6tCWSH,2.440170535E9,rappi,MEX,La Calma,La Neta Burgers (Orale Burgers),5.0,0,,rrs_rest_quality_rate_5|Calidad de la comida,HIGH_FOOD_QUALITY,HIGH_FOOD_QUALITY,,1.0,0
19.0,kpSdPanq5MNanpYij,2.440172023E9,rappi,MEX,Cumbres,Que Chicken,2.0,1,,comment|Comentario,RATINGS,RATINGS,0.0,,1
19.0,DsRLbn3Rrt3KCvh9p,5764669961389803027,didi,MEX,Doctores,Cocina Corrida,5.0,0,,RATINGS,,RATINGS,1.0,,0
19.0,PycPZmqLFLNw7CfE2,5764669963910579726,didi,MEX,Tabachines,Mr Beast Burger,5.0,0,,RATINGS,,RATINGS,1.0,,0
19.0,QrATd8c9G4LJmBmqC,145d17cd-bf01-4fbc-ab26-f22caf8f39f5,ubereats,MEX,Coapa,House of Salads,5.0,0,,RATINGS,,RATINGS,1.0,,0
20.0,pbou9Nt4TXHrnaYHN,2.440176542E9,rappi,MEX,La Calma,Mr Beast Burger Turbo,5.0,0,,comment|Comentario,RATINGS,RATINGS,1.0,,0
20.0,pHwchPXHLpcvdpss3,ea230621-db43-48dc-929a-71937733ae50,ubereats,MEX,Santa Teresita,House of Salads,5.0,0,,RATINGS,,RATINGS,1.0,,0
20.0,JG8BssWo2pHjR6AC2,0f78e0ab-4b4a-4def-88d4-fc95a9ccdd90,ubereats,MEX,Tec,Honest Food,5.0,0,,RATINGS,,RATINGS,1.0,,0
20.0,SJMwfd2Q5G4FuWRwW,f3f95705-cae7-40da-896b-0730efade5c2,ubereats,MEX,Tec,Honest Food,5.0,0,,HIGH_FOOD_QUALITY,,1.0,,,0
20.0,X88WdGZmwuCRdqzC7,a136342c-f3e0-473a-909f-054132a3be6f,ubereats,MEX,Ciudad Judicial,Green House,5.0,0,,HIGH_FOOD_QUALITY,,1.0,,,0
20.0,PaDWWryQDDeqMpqwo,2.440178128E9,rappi,MEX,Volcanes,Don Gyros & Kebab,3.0,1,,RATINGS,,RATINGS,0.0,,1
20.0,Ednjm9ZShsF9nJAHo,5764670148292183593,didi,MEX,Tabachines,Mr Beast Burger,5.0,0,,Buena calidad de la comida|Bien empacado,GOOD_PACKAGING|HIGH_FOOD_QUALITY,1.0,,,0
20.0,whaxJdNfBwCMHQ55u,2.440178508E9,rappi,MEX,Tabachines,Don Gyros & Kebab,3.0,1,,rrs_rest_quality_rate_3|Mala calidad,BAD_QUALITY,OTHER,QUALITY,0.0,1
20.0,zfhg6TGdxdJMXDzQj,5764670035473794570,didi,MEX,La Calma,Honest Food,5.0,0,,RATINGS,,RATINGS,1.0,,0
20.0,G5p2FSDBAfCQmKuWj,3b96e096-cfc2-440f-9547-e36a91118e67,ubereats,MEX,Metepec,La Neta Burgers (Orale Burgers),5.0,0,,"HIGH_FOOD_QUALITY, HIGH_FOOD_QUALITY, HIGH_FOOD_QUALITY, HIGH_FOOD_QUALITY, HIGH_FOOD_QUALITY",,1.0,,,0
20.0,oxdkEkPgYWtCkB585,2.440173399E9,rappi,MEX,La Calma,La Neta Burgers (Orale Burgers),3.0,1,,RATINGS,,RATINGS,0.0,,1
20.0,AidnG9CxjskF9AzMh,60475c15-41fa-48e8-99f7-32ccbbbae62a,ubereats,MEX,Coapa,Que Chicken,5.0,0,,"HIGH_FOOD_QUALITY, HIGH_FOOD_QUALITY",,1.0,,,0
